volume	publisher	title	first_author	BL_DLS_ID	pubplace	book_identifier	ARK_id_of_book	date	flickr_url	image_idx	page	flickr_id	flickr_small_source	flickr_small_height	flickr_small_width	flickr_medium_source	flickr_medium_height	flickr_medium_width	flickr_large_source	flickr_large_height	flickr_large_width	flickr_original_source	flickr_original_height	flickr_original_width
0		Louis XVI. et la Révolution	SOURIAU, Maurice.		Paris	003446485		1803	http://www.flickr.com/photos/britishlibrary/11219482995	1	000254	11219482995	http://farm4.staticflickr.com/3670/11219482995_07dc90429e_m.jpg	190	240	http://farm4.staticflickr.com/3670/11219482995_07dc90429e.jpg	396	500	http://farm4.staticflickr.com/3670/11219482995_07dc90429e_b.jpg	810	1024	http://farm4.staticflickr.com/3670/11219482995_7abb1de8bb_o.jpg	1142	1444
0		Louis XVI. et la Révolution	SOURIAU, Maurice.		Paris	003446485		1803	http://www.flickr.com/photos/britishlibrary/11219482685	1	000295	11219482685	http://farm4.staticflickr.com/3701/11219482685_5538430e00_m.jpg	240	167	http://farm4.staticflickr.com/3701/11219482685_5538430e00.jpg	500	347	http://farm4.staticflickr.com/3701/11219482685_5538430e00_b.jpg	1024	711	http://farm4.staticflickr.com/3701/11219482685_20e3fd9eb4_o.jpg	1270	882
0		[History of the Rebellion in Ireland, ... in 1798 ... With an appendix, etc.]	GORDON, James Bentley.		London	001466754		1803	http://www.flickr.com/photos/britishlibrary/11219484564	1	000008	11219484564	http://farm4.staticflickr.com/3825/11219484564_2673b89beb_m.jpg	240	160	http://farm4.staticflickr.com/3825/11219484564_2673b89beb.jpg	500	333	http://farm4.staticflickr.com/3825/11219484564_2673b89beb_b.jpg	1024	681	http://farm4.staticflickr.com/3825/11219484564_ba0d2455d9_o.jpg	1211	805
03	T. Cadell & W. Davies	[The Works of Robert Burns; with an account of his life, and a criticism on his writings. To which are prefixed, some observations on the character and condition of the Scottish peasantry. [By James Currie.]]	Burns, Robert		London	000543155		1803	http://www.flickr.com/photos/britishlibrary/11219602673	1	000005	11219602673	http://farm4.staticflickr.com/3703/11219602673_86dc2708fc_m.jpg	164	240	http://farm4.staticflickr.com/3703/11219602673_86dc2708fc.jpg	342	500	http://farm4.staticflickr.com/3703/11219602673_86dc2708fc_b.jpg	700	1024	http://farm4.staticflickr.com/3703/11219602673_9a4ab20cd0_o.jpg	961	1406
0		Louis XVI. et la Révolution	SOURIAU, Maurice.		Paris	003446485		1803	http://www.flickr.com/photos/britishlibrary/11219496056	1	000213	11219496056	http://farm4.staticflickr.com/3755/11219496056_467050533e_m.jpg	188	240	http://farm4.staticflickr.com/3755/11219496056_467050533e.jpg	393	500	http://farm4.staticflickr.com/3755/11219496056_467050533e_b.jpg	804	1024	http://farm4.staticflickr.com/3755/11219496056_5ba7f1c4a2_o.jpg	1148	1462
0		[A Narrative of the Sufferings and Escape of Charles Jackson ... The eighth edition.]	JACKSON, Charles of Wexford		Cambridge	001833966		1803	http://www.flickr.com/photos/britishlibrary/11219483684	1	000006	11219483684	http://farm3.staticflickr.com/2823/11219483684_9384ca31e7_m.jpg	240	208	http://farm3.staticflickr.com/2823/11219483684_9384ca31e7.jpg	500	434	http://farm3.staticflickr.com/2823/11219483684_9384ca31e7_b.jpg	1024	888	http://farm3.staticflickr.com/2823/11219483684_609a8c33c3_o.jpg	1281	1111
0		Louis XVI. et la Révolution	SOURIAU, Maurice.		Paris	003446485		1803	http://www.flickr.com/photos/britishlibrary/11219480485	1	000277	11219480485	http://farm8.staticflickr.com/7343/11219480485_959d14fd30_m.jpg	180	240	http://farm8.staticflickr.com/7343/11219480485_959d14fd30.jpg	375	500	http://farm8.staticflickr.com/7343/11219480485_959d14fd30_b.jpg	767	1024	http://farm8.staticflickr.com/7343/11219480485_6560c5c70c_o.jpg	1118	1492
0	G. and W. Nicol	An account of the Pelew Islands. ... The fifth edition. To which is added a supplement compiled from the journals of the Panther and Endeavour ... sent ... to those Islands in 1790. By J. P. Hockin. (A vocabulary of the Pelew language.)	KEATE, George.		London	001937957		1803	http://www.flickr.com/photos/britishlibrary/11219601143	1	000008	11219601143	http://farm8.staticflickr.com/7329/11219601143_a642764d25_m.jpg	240	188	http://farm8.staticflickr.com/7329/11219601143_a642764d25.jpg	500	392	http://farm8.staticflickr.com/7329/11219601143_a642764d25_b.jpg	1024	803	http://farm8.staticflickr.com/7329/11219601143_c00f641929_o.jpg	1578	1238
0		Letters from his excellency George Washington to A. Young, esqr, F.R.S., and Sir J. Sinclair, bart. M.P., containing an account of his husbandry, with his opinions on various questions in agriculture, and many particulars of the rural economy of the United States. [Edited by A. Young.]	Washington, George	lsidyv3cb783bf	Alexandria	003859873	ark:/81055/vdc_00000005D534	1803	http://www.flickr.com/photos/britishlibrary/11219481914	1	000100	11219481914	http://farm6.staticflickr.com/5502/11219481914_5a3e5f2b73_m.jpg	240	183	http://farm6.staticflickr.com/5502/11219481914_5a3e5f2b73.jpg	500	382	http://farm6.staticflickr.com/5502/11219481914_5a3e5f2b73_b.jpg	1024	782	http://farm6.staticflickr.com/5502/11219481914_50443d071e_o.jpg	1225	936
0		Louis XVI. et la Révolution	SOURIAU, Maurice.		Paris	003446485		1803	http://www.flickr.com/photos/britishlibrary/11219481964	1	000255	11219481964	http://farm8.staticflickr.com/7390/11219481964_711c812ae1_m.jpg	188	240	http://farm8.staticflickr.com/7390/11219481964_711c812ae1.jpg	392	500	http://farm8.staticflickr.com/7390/11219481964_711c812ae1_b.jpg	802	1024	http://farm8.staticflickr.com/7390/11219481964_1063e11e09_o.jpg	1171	1495
