flickr_id	flickr_url	book_identifier	title	first_author	pubplace	publisher	date	volume	page	image_idx	ARK_id_of_book	BL_DLS_ID
11000083233	http://www.flickr.com/photos/britishlibrary/11000083233	001721443	The Sports of the Genii. [Etchings from drawings by Miss Susan Macdonald. With verses by A. Home.]	HOME, afterwards HUNTER, Anne.	London		1804	0	000048	1		
10999864245	http://www.flickr.com/photos/britishlibrary/10999864245	001142504	England delineated		London	Lackington, Allen & Co.	1804	02	000240	1	ark:/81055/vdc_000000054A3E	lsidyv3bd858ac
11000020254	http://www.flickr.com/photos/britishlibrary/11000020254	003810705	Voyage pittoresque sur le Rhin; d'après l'allemand de Monsieur le Professeur Vogt par ... l'Abbé Libert. Avec gravures. Vol. 1, in 3 pt	VOGT, Nicolaus.	Francfort sur le Mein		1804	0	000063	1		
11000081283	http://www.flickr.com/photos/britishlibrary/11000081283	001142504	England delineated		London	Lackington, Allen & Co.	1804	01	000116	1	ark:/81055/vdc_000000054A3E	lsidyv3bd858ac
11000018884	http://www.flickr.com/photos/britishlibrary/11000018884	003450252	British Mineralogy: or coloured figures intended to elucidate the mineralogy of Great Britain. By J. Sowerby (with assistance). F.P	SOWERBY, James.	London		1804	05	000466	1	ark:/81055/vdc_00000005D780	lsidyv3cba93b7
10999861855	http://www.flickr.com/photos/britishlibrary/10999861855	003810705	Voyage pittoresque sur le Rhin; d'après l'allemand de Monsieur le Professeur Vogt par ... l'Abbé Libert. Avec gravures. Vol. 1, in 3 pt	VOGT, Nicolaus.	Francfort sur le Mein		1804	0	000307	1		
10999862085	http://www.flickr.com/photos/britishlibrary/10999862085	001142504	England delineated		London	Lackington, Allen & Co.	1804	02	000296	1	ark:/81055/vdc_000000054A3E	lsidyv3bd858ac
10999860875	http://www.flickr.com/photos/britishlibrary/10999860875	001142504	England delineated		London	Lackington, Allen & Co.	1804	02	000082	1	ark:/81055/vdc_000000054A3E	lsidyv3bd858ac
11000078583	http://www.flickr.com/photos/britishlibrary/11000078583	002251090	Modern London; being the history and present state of the British Metropolis. Illustrated with numerous copper plates. [By Richard Phillips.]		London	Richard Phillips	1804	0	000291	1		
10999859535	http://www.flickr.com/photos/britishlibrary/10999859535	003450252	British Mineralogy: or coloured figures intended to elucidate the mineralogy of Great Britain. By J. Sowerby (with assistance). F.P	SOWERBY, James.	London		1804	01	000328	1	ark:/81055/vdc_00000005D780	lsidyv3cba93b7
11000077373	http://www.flickr.com/photos/britishlibrary/11000077373	001142504	England delineated		London	Lackington, Allen & Co.	1804	02	000276	1	ark:/81055/vdc_000000054A3E	lsidyv3bd858ac
10999858755	http://www.flickr.com/photos/britishlibrary/10999858755	003450252	British Mineralogy: or coloured figures intended to elucidate the mineralogy of Great Britain. By J. Sowerby (with assistance). F.P	SOWERBY, James.	London		1804	03	000060	1	ark:/81055/vdc_00000005D780	lsidyv3cba93b7
