volume	publisher	title	first_author	BL_DLS_ID	pubplace	book_identifier	ARK_id_of_book	date	flickr_url	image_idx	page	flickr_id	flickr_small_source	flickr_small_height	flickr_small_width	flickr_medium_source	flickr_medium_height	flickr_medium_width	flickr_large_source	flickr_large_height	flickr_large_width	flickr_original_source	flickr_original_height	flickr_original_width
0		Die Stadt und Universität Bonn am Rhein; mit ihren Umgebungen, etc	HUNDESHAGEN, Bernhard.		Bonn	001767264		1832	http://www.flickr.com/photos/britishlibrary/11047019086	1	000010	11047019086	http://farm6.staticflickr.com/5494/11047019086_cc5aeb7b3f_m.jpg	240	135	http://farm6.staticflickr.com/5494/11047019086_cc5aeb7b3f.jpg	500	281	http://farm6.staticflickr.com/5494/11047019086_cc5aeb7b3f_b.jpg	1024	576	http://farm6.staticflickr.com/5494/11047019086_42ee7908a9_o.jpg	2336	1315
0	W. Tombleson & Co.	Tombleson's Views of the Rhine. Edited by W. G. Fearnside. [With plates.]	FEARNSIDE, William Gray.	lsidyv3bbeae11	London	001209178	ark:/81055/vdc_000000053BBC	1832	http://www.flickr.com/photos/britishlibrary/11008691984	1	000315	11008691984	http://farm4.staticflickr.com/3734/11008691984_97f7011664_m.jpg	240	152	http://farm4.staticflickr.com/3734/11008691984_97f7011664.jpg	500	317	http://farm4.staticflickr.com/3734/11008691984_97f7011664_b.jpg	1024	650	http://farm4.staticflickr.com/3734/11008691984_d51fa53c0e_o.jpg	2348	1491
0	N. & G. Guilford & Co.	The Western Pilot; containing charts of the Ohio River, and of the Mississippi, from the mouth of the Missouri to the Gulf of Mexico, accompanied with directions for navigating the same, and a gazetteer, etc	CUMINGS, Samuel.	lsidyv3ce4f322	Cincinnati	000835378	ark:/81055/vdc_00000005EAFA	1832	http://www.flickr.com/photos/britishlibrary/11008737843	1	000022	11008737843	http://farm8.staticflickr.com/7294/11008737843_9950806f85_m.jpg	240	128	http://farm8.staticflickr.com/7294/11008737843_9950806f85.jpg	500	267	http://farm8.staticflickr.com/7294/11008737843_9950806f85_b.jpg	1024	547	http://farm8.staticflickr.com/7294/11008737843_a39afc4b5d_o.jpg	2392	1277
0	Whittaker, Treacher & Co.	Domestic Manners of the Americans	Trollope, Frances Milton		xxu	004147970		1832	http://www.flickr.com/photos/britishlibrary/11008691014	1	000158	11008691014	http://farm8.staticflickr.com/7379/11008691014_4537f0fb5e_m.jpg	240	143	http://farm8.staticflickr.com/7379/11008691014_4537f0fb5e.jpg	500	297	http://farm8.staticflickr.com/7379/11008691014_4537f0fb5e_b.jpg	1024	609	http://farm8.staticflickr.com/7379/11008691014_36cb8d8032_o.jpg	2172	1291
0		A Three Months' Tour in Switzerland and France, etc	LIDDIARD, William.	lsidyv3ccf4edc	London	002163690	ark:/81055/vdc_00000005E566	1832	http://www.flickr.com/photos/britishlibrary/11008607056	1	000042	11008607056	http://farm4.staticflickr.com/3737/11008607056_06b2b3386d_m.jpg	189	240	http://farm4.staticflickr.com/3737/11008607056_06b2b3386d.jpg	395	500	http://farm4.staticflickr.com/3737/11008607056_06b2b3386d_b.jpg	808	1024	http://farm4.staticflickr.com/3737/11008607056_5d2259860a_o.jpg	2433	3084
03		Darstellung der k. k. Haupt- und Residenzstadt Wien	SICKINGEN, Franz Xavier von.		Wien	003377433		1832	http://www.flickr.com/photos/britishlibrary/11008605896	1	000311	11008605896	http://farm4.staticflickr.com/3764/11008605896_e6a956886a_m.jpg	84	240	http://farm4.staticflickr.com/3764/11008605896_e6a956886a.jpg	175	500	http://farm4.staticflickr.com/3764/11008605896_e6a956886a_b.jpg	359	1024	http://farm4.staticflickr.com/3764/11008605896_ff6070c449_o.jpg	2275	6488
0		A Three Months' Tour in Switzerland and France, etc	LIDDIARD, William.	lsidyv3ccf4edc	London	002163690	ark:/81055/vdc_00000005E566	1832	http://www.flickr.com/photos/britishlibrary/11008689294	1	000182	11008689294	http://farm3.staticflickr.com/2860/11008689294_8df3735fe8_m.jpg	240	156	http://farm3.staticflickr.com/2860/11008689294_8df3735fe8.jpg	500	325	http://farm3.staticflickr.com/2860/11008689294_8df3735fe8_b.jpg	1024	666	http://farm3.staticflickr.com/2860/11008689294_960c1050f6_o.jpg	2198	1430
01		The History of England ... to the Revolution in 1688; ... and a ... continuation to the reign of William IV. ... by H. Clarke ... With engravings	Hume, David		London	001765223		1832	http://www.flickr.com/photos/britishlibrary/11008604616	1	000547	11008604616	http://farm6.staticflickr.com/5476/11008604616_f15622b0b6_m.jpg	240	181	http://farm6.staticflickr.com/5476/11008604616_f15622b0b6.jpg	500	376	http://farm6.staticflickr.com/5476/11008604616_f15622b0b6_b.jpg	1024	771	http://farm6.staticflickr.com/5476/11008604616_2e3f65861e_o.jpg	2913	2194
0		A Three Months' Tour in Switzerland and France, etc	LIDDIARD, William.	lsidyv3ccf4edc	London	002163690	ark:/81055/vdc_00000005E566	1832	http://www.flickr.com/photos/britishlibrary/11008734043	1	000010	11008734043	http://farm3.staticflickr.com/2822/11008734043_96a7e8445e_m.jpg	240	148	http://farm3.staticflickr.com/2822/11008734043_96a7e8445e.jpg	500	308	http://farm3.staticflickr.com/2822/11008734043_96a7e8445e_b.jpg	1024	631	http://farm3.staticflickr.com/2822/11008734043_b8ff68802b_o.jpg	2173	1338
0		[Travels through Russia, Siberia, Poland, Austria, Saxony, Prussia, Hanover, etc. undertaken during the years 1822, 1823, and 1824, while suffering from total blindness, and comprising an account of the author being conducted a state prisoner from the eastern parts of Siberia.]	Holman, James		London	001715924		1832	http://www.flickr.com/photos/britishlibrary/11008603146	1	000568	11008603146	http://farm8.staticflickr.com/7353/11008603146_9e20d595dd_m.jpg	240	148	http://farm8.staticflickr.com/7353/11008603146_9e20d595dd.jpg	500	308	http://farm8.staticflickr.com/7353/11008603146_9e20d595dd_b.jpg	1024	631	http://farm8.staticflickr.com/7353/11008603146_4db3417d1e_o.jpg	2193	1351
