volume	publisher	title	first_author	BL_DLS_ID	pubplace	book_identifier	ARK_id_of_book	date	flickr_url	image_idx	page	flickr_id	flickr_small_source	flickr_small_height	flickr_small_width	flickr_medium_source	flickr_medium_height	flickr_medium_width	flickr_large_source	flickr_large_height	flickr_large_width	flickr_original_source	flickr_original_height	flickr_original_width
12		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11287621514	1	000614	11287621514	http://farm3.staticflickr.com/2807/11287621514_d35313ca9a_m.jpg	240	202	http://farm3.staticflickr.com/2807/11287621514_d35313ca9a.jpg	500	421	http://farm3.staticflickr.com/2807/11287621514_d35313ca9a_b.jpg	1024	862	http://farm3.staticflickr.com/2807/11287621514_58f4d196c0_o.jpg	1338	1126
03		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11287545935	1	000426	11287545935	http://farm6.staticflickr.com/5472/11287545935_db428e6646_m.jpg	211	240	http://farm6.staticflickr.com/5472/11287545935_db428e6646.jpg	439	500	http://farm6.staticflickr.com/5472/11287545935_db428e6646_b.jpg	900	1024	http://farm6.staticflickr.com/5472/11287545935_13cbb94fcd_o.jpg	1061	1207
09		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11287621444	1	000337	11287621444	http://farm4.staticflickr.com/3706/11287621444_17f5ae9a06_m.jpg	192	240	http://farm4.staticflickr.com/3706/11287621444_17f5ae9a06.jpg	401	500	http://farm4.staticflickr.com/3706/11287621444_17f5ae9a06_b.jpg	821	1024	http://farm4.staticflickr.com/3706/11287621444_280e0a45cf_o.jpg	971	1211
12		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11287677553	1	000315	11287677553	http://farm3.staticflickr.com/2889/11287677553_b00e1f3b67_m.jpg	240	203	http://farm3.staticflickr.com/2889/11287677553_b00e1f3b67.jpg	500	423	http://farm3.staticflickr.com/2889/11287677553_b00e1f3b67_b.jpg	1024	867	http://farm3.staticflickr.com/2889/11287677553_fbfdd12637_o.jpg	1370	1160
23		Works of Charles Dickens. New illustrated library edition. [With a preface to each work by Edwin P. Whipple.]	Dickens, Charles			000930641			http://www.flickr.com/photos/britishlibrary/11287620804	1	000328	11287620804	http://farm8.staticflickr.com/7349/11287620804_9314f07b76_m.jpg	240	205	http://farm8.staticflickr.com/7349/11287620804_9314f07b76.jpg	500	427	http://farm8.staticflickr.com/7349/11287620804_9314f07b76_b.jpg	1024	874	http://farm8.staticflickr.com/7349/11287620804_7c13466c5f_o.jpg	1437	1227
06		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11287592216	1	000649	11287592216	http://farm8.staticflickr.com/7440/11287592216_5fc89790df_m.jpg	240	194	http://farm8.staticflickr.com/7440/11287592216_5fc89790df.jpg	500	405	http://farm8.staticflickr.com/7440/11287592216_5fc89790df_b.jpg	1024	829	http://farm8.staticflickr.com/7440/11287592216_7ebd0cb9da_o.jpg	1548	1253
0		Messia. [A translation of Pope's “Messiah” into Latin, written as a College exercise.]	JOHNSON, Samuel LL.D			001887440			http://www.flickr.com/photos/britishlibrary/11287620604	1	000021	11287620604	http://farm6.staticflickr.com/5488/11287620604_5387daa627_m.jpg	188	240	http://farm6.staticflickr.com/5488/11287620604_5387daa627.jpg	393	500	http://farm6.staticflickr.com/5488/11287620604_5387daa627_b.jpg	804	1024	http://farm6.staticflickr.com/5488/11287620604_614accce4f_o.jpg	1160	1478
0		Messia. [A translation of Pope's “Messiah” into Latin, written as a College exercise.]	JOHNSON, Samuel LL.D			001887440			http://www.flickr.com/photos/britishlibrary/11287676753	1	000030	11287676753	http://farm4.staticflickr.com/3761/11287676753_46b8902074_m.jpg	240	188	http://farm4.staticflickr.com/3761/11287676753_46b8902074.jpg	500	392	http://farm4.staticflickr.com/3761/11287676753_46b8902074_b.jpg	1024	803	http://farm4.staticflickr.com/3761/11287676753_33e33f7edb_o.jpg	1551	1217
12		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11287543805	1	000061	11287543805	http://farm6.staticflickr.com/5549/11287543805_d2d4ce9219_m.jpg	240	196	http://farm6.staticflickr.com/5549/11287543805_d2d4ce9219.jpg	500	408	http://farm6.staticflickr.com/5549/11287543805_d2d4ce9219_b.jpg	1024	835	http://farm6.staticflickr.com/5549/11287543805_15baa6e1e1_o.jpg	1556	1269
07		[Traits and Stories of the Irish Peasantry ... Fourth edition.]	Carleton, William			000607484			http://www.flickr.com/photos/britishlibrary/11287676423	1	000099	11287676423	http://farm3.staticflickr.com/2881/11287676423_3040a753cb_m.jpg	240	174	http://farm3.staticflickr.com/2881/11287676423_3040a753cb.jpg	500	363	http://farm3.staticflickr.com/2881/11287676423_3040a753cb_b.jpg	1024	744	http://farm3.staticflickr.com/2881/11287676423_2d3069bc09_o.jpg	1352	982
