flickr_id	flickr_url	book_identifier	title	first_author	pubplace	publisher	date	volume	page	image_idx	ARK_id_of_book	BL_DLS_ID
11255461994	http://www.flickr.com/photos/britishlibrary/11255461994	000930623	The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles				0	000011	1		
11255511563	http://www.flickr.com/photos/britishlibrary/11255511563	003605102	The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace	Oxford			02	000713	1		
11255425545	http://www.flickr.com/photos/britishlibrary/11255425545	000977434	The Conan Doyle Historical Romances. The White Company. Sir Nigel. Micah Clarke. The Refugees	Doyle, Arthur Conan Sir				0	000018	1		
11255461454	http://www.flickr.com/photos/britishlibrary/11255461454	003605102	The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace	Oxford			13	000868	1		
11255424455	http://www.flickr.com/photos/britishlibrary/11255424455	003605102	The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace	Oxford			02	000507	1		
11255424495	http://www.flickr.com/photos/britishlibrary/11255424495	000930629	The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles				0	000393	1		
11255458744	http://www.flickr.com/photos/britishlibrary/11255458744	003575101	Tales of Shipwrecks, and Adventures by Land and Sea					0	000085	1		
11255423065	http://www.flickr.com/photos/britishlibrary/11255423065	002816907	The Penny Library of Famous Books		London			08	000160	1		
11255422855	http://www.flickr.com/photos/britishlibrary/11255422855	000930627	The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles				0	000445	1		
11255422675	http://www.flickr.com/photos/britishlibrary/11255422675	000930612	The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles				0	000019	1		
11255507903	http://www.flickr.com/photos/britishlibrary/11255507903	000930646	Works of Charles Dickens. New illustrated library edition. [With a preface to each work by Edwin P. Whipple.]	Dickens, Charles				17	000111	1		
11255506893	http://www.flickr.com/photos/britishlibrary/11255506893	003605102	The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace	Oxford			16	000416	1		
