volume	publisher	title	first_author	BL_DLS_ID	pubplace	book_identifier	ARK_id_of_book	date	flickr_url	image_idx	page	flickr_id	flickr_small_source	flickr_small_height	flickr_small_width	flickr_medium_source	flickr_medium_height	flickr_medium_width	flickr_large_source	flickr_large_height	flickr_large_width	flickr_original_source	flickr_original_height	flickr_original_width
14		Famous Names in Fiction. Compiled-with a staff of experts-by E. M. O'Connor	O'CONNOR, Evangeline Maria.			002691742			http://www.flickr.com/photos/britishlibrary/11171948326	1	000033	11171948326	http://farm4.staticflickr.com/3766/11171948326_ef56b905bd_m.jpg	240	129	http://farm4.staticflickr.com/3766/11171948326_ef56b905bd.jpg	500	268				http://farm4.staticflickr.com/3766/11171948326_219cf145fe_o.jpg	547	293
0		The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles			000930616			http://www.flickr.com/photos/britishlibrary/11171908985	1	000121	11171908985	http://farm4.staticflickr.com/3762/11171908985_df1941cd61_m.jpg	240	150	http://farm4.staticflickr.com/3762/11171908985_df1941cd61.jpg	353	220				http://farm4.staticflickr.com/3762/11171908985_ddef4da1e1_o.jpg	353	220
0		The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles			000930617			http://www.flickr.com/photos/britishlibrary/11171908795	1	000027	11171908795	http://farm6.staticflickr.com/5549/11171908795_a652613617_m.jpg	240	121	http://farm6.staticflickr.com/5549/11171908795_a652613617.jpg	432	217				http://farm6.staticflickr.com/5549/11171908795_fe44ef8079_o.jpg	432	217
14		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11171947116	1	000076	11171947116	http://farm6.staticflickr.com/5533/11171947116_f0059b0068_m.jpg	136	240	http://farm6.staticflickr.com/5533/11171947116_f0059b0068.jpg	283	500	http://farm6.staticflickr.com/5533/11171947116_f0059b0068_b.jpg	580	1024	http://farm6.staticflickr.com/5533/11171947116_4911a8e04d_o.jpg	697	1231
01		Works of Charles Dickens. New illustrated library edition. [With a preface to each work by Edwin P. Whipple.]	Dickens, Charles			000930643			http://www.flickr.com/photos/britishlibrary/11171907975	1	000015	11171907975	http://farm6.staticflickr.com/5528/11171907975_cc351d0103_m.jpg	240	188	http://farm6.staticflickr.com/5528/11171907975_cc351d0103.jpg	500	391	http://farm6.staticflickr.com/5528/11171907975_cc351d0103_b.jpg	722	565	http://farm6.staticflickr.com/5528/11171907975_f7699e3fe0_o.jpg	722	565
0		The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles			000930614			http://www.flickr.com/photos/britishlibrary/11172104823	1	000093	11172104823	http://farm8.staticflickr.com/7346/11172104823_02b24aff67_m.jpg	240	116	http://farm8.staticflickr.com/7346/11172104823_02b24aff67.jpg	430	207				http://farm8.staticflickr.com/7346/11172104823_761d0deb8a_o.jpg	430	207
01		The Penny Library of Famous Books			London	002816907			http://www.flickr.com/photos/britishlibrary/11171945616	1	000281	11171945616	http://farm4.staticflickr.com/3690/11171945616_789886bb53_m.jpg	134	240	http://farm4.staticflickr.com/3690/11171945616_789886bb53.jpg	280	500	http://farm4.staticflickr.com/3690/11171945616_789886bb53_b.jpg	462	825	http://farm4.staticflickr.com/3690/11171945616_86baf6c168_o.jpg	462	825
04		Famous Names in Fiction. Compiled-with a staff of experts-by E. M. O'Connor	O'CONNOR, Evangeline Maria.			002691742			http://www.flickr.com/photos/britishlibrary/11171964534	1	000326	11171964534	http://farm6.staticflickr.com/5502/11171964534_9a16c3d289_m.jpg	240	122	http://farm6.staticflickr.com/5502/11171964534_9a16c3d289.jpg	500	255				http://farm6.staticflickr.com/5502/11171964534_c61de7d6b1_o.jpg	552	281
02		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11171906585	1	000483	11171906585	http://farm8.staticflickr.com/7376/11171906585_477b8fb19a_m.jpg	153	240	http://farm8.staticflickr.com/7376/11171906585_477b8fb19a.jpg	319	500	http://farm8.staticflickr.com/7376/11171906585_477b8fb19a_b.jpg	653	1024	http://farm8.staticflickr.com/7376/11171906585_95d739b8c9_o.jpg	740	1160
08		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11171963754	1	000036	11171963754	http://farm3.staticflickr.com/2811/11171963754_539dd43174_m.jpg	240	224	http://farm3.staticflickr.com/2811/11171963754_539dd43174.jpg	500	467	http://farm3.staticflickr.com/2811/11171963754_539dd43174_b.jpg	672	628	http://farm3.staticflickr.com/2811/11171963754_46b4e32193_o.jpg	672	628
08		The Oxford Thackeray. With illustrations. [Edited with introductions by George Saintsbury.]	Thackeray, William Makepeace		Oxford	003605102			http://www.flickr.com/photos/britishlibrary/11172102683	1	000415	11172102683	http://farm4.staticflickr.com/3762/11172102683_8d63d3eb61_m.jpg	240	196	http://farm4.staticflickr.com/3762/11172102683_8d63d3eb61.jpg	500	408	http://farm4.staticflickr.com/3762/11172102683_8d63d3eb61_b.jpg	736	600	http://farm4.staticflickr.com/3762/11172102683_2acb46517f_o.jpg	736	600
0		The Works of Charles Dickens. Household edition. [With illustrations.]	Dickens, Charles			000930627			http://www.flickr.com/photos/britishlibrary/11171905555	1	000342	11171905555	http://farm4.staticflickr.com/3795/11171905555_70b7234309_m.jpg	240	132	http://farm4.staticflickr.com/3795/11171905555_70b7234309.jpg	377	208				http://farm4.staticflickr.com/3795/11171905555_f61f2d15f2_o.jpg	377	208
0		[The Foundling Hospital for Wit, intended for the reception and preservation of such Brats of Wit and Humour, whose parents chose to drop them. Containing all the satires, odes, ballads, epigrams, etc. that have been wrote since the change of ministry, many of which have never before been printed. [No. 1 edited by Samuel Silence; No. 2-6 by Timothy Silence.] no. 1-6.]	SILENCE, Samuel pseud			003383189			http://www.flickr.com/photos/britishlibrary/11172101973	1	000208	11172101973	http://farm4.staticflickr.com/3775/11172101973_e2e0c75a0e_m.jpg	194	240	http://farm4.staticflickr.com/3775/11172101973_e2e0c75a0e.jpg	404	500	http://farm4.staticflickr.com/3775/11172101973_e2e0c75a0e_b.jpg	676	837	http://farm4.staticflickr.com/3775/11172101973_648d7548c3_o.jpg	676	837
